Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
PSYC 311,Behavioral Neuroscience Lab,43493,Laboratory,A,09:00AM - 11:50AM,W,,258,Psychology Building
PSYC 311,Behavioral Neuroscience Lab,43494,Laboratory,B,01:00PM - 03:50PM,T,,258,Psychology Building
PSYC 311,Behavioral Neuroscience Lab,43495,Laboratory,C,01:00PM - 03:50PM,W,,258,Psychology Building
PSYC 311,Behavioral Neuroscience Lab,43496,Laboratory,D,02:00PM - 04:50PM,R,,258,Psychology Building
PSYC 311,Behavioral Neuroscience Lab,43497,Laboratory,E,09:00AM - 11:50AM,T,,258,Psychology Building
PSYC 312,Psychology of Race & Ethnicity,56233,Lecture,A,03:30PM - 04:50PM,TR,"Rodriguez Palacios, V",213,Gregory Hall
PSYC 313,"Drugs, Brain and Behavior",75615,Lecture,A,11:00AM - 12:20PM,TR,"Gulley, J",23,Psychology Building
PSYC 320,The Teenage Years,62701,Lecture,A,12:30PM - 01:50PM,TR,"Wood, E",101,Armory
PSYC 321,Human Memory,79733,Lecture,A,09:30AM - 10:50AM,TR,"Adhimoolam, B",1022,Lincoln Hall
PSYC 332,Social Psych Methods Lab,38153,Laboratory,AB1,09:00AM - 10:50AM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,43371,Laboratory,AB2,11:00AM - 12:50PM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,38161,Laboratory,AB3,01:00PM - 02:50PM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,38162,Laboratory,AB4,03:00PM - 04:50PM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,38164,Laboratory,AB5,02:00PM - 03:50PM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,38165,Laboratory,AB6,04:00PM - 05:50PM,TR,"Mischkowski, D",,
PSYC 332,Social Psych Methods Lab,38166,Lecture,AL1,03:00PM - 04:50PM,M,"Mischkowski, D",23,Psychology Building
PSYC 334,Perception Lab,51235,Laboratory,AB1,10:00AM - 11:50AM,MW,"Wang, R",35,Psychology Building
PSYC 334,Perception Lab,51231,Lecture,AL1,10:00AM - 11:50AM,F,"Wang, R",815,Psychology Building
PSYC 336,Topics in Clin/Comm Psych,32683,Lecture,BH,12:00PM - 01:20PM,MW,"Hankin, B",207,Psychology Building
PSYC 336,Topics in Clin/Comm Psych,51387,Lecture,CH,03:30PM - 04:50PM,TR,"Hunter, C",11,Psychology Building
PSYC 339,Restorative Justice: Principles and Methods,78237,Lecture,ML,02:00PM - 03:20PM,TR,"Lyubansky, M",17,Psychology Building
PSYC 340,Community Projects,37956,Laboratory,CCH,03:30PM - 05:15PM,T,"Rodriguez Palacios, V",815,Psychology Building
PSYC 340,Community Projects,37955,Laboratory,CCP,03:00PM - 04:50PM,TR,"Hunter, CLanker, ESchlesinger, R",132,Davenport Hall
PSYC 340,Community Projects,48118,Laboratory,MND,12:00PM - 01:50PM,MW,"Heller, WSbrilli, M",309,English Building
PSYC 350,Personality Lab,39820,Laboratory,AB1,09:00AM - 10:50AM,WF,"Fraley, R",,
PSYC 350,Personality Lab,39821,Laboratory,AB2,11:00AM - 12:50PM,WF,"Fraley, R",,
PSYC 350,Personality Lab,39822,Laboratory,AB3,11:00AM - 12:50PM,WF,"Fraley, R",,
PSYC 350,Personality Lab,49078,Laboratory,AB4,01:00PM - 02:50PM,WF,"Fraley, R",,
PSYC 350,Personality Lab,39819,Lecture,AL,03:30PM - 05:20PM,T,"Fraley, R",160,English Building
PSYC 363,Developmental Child Psych Lab,41811,Laboratory,AB1,10:00AM - 11:50AM,MW,"Shenouda, C",207,Psychology Building
PSYC 363,Developmental Child Psych Lab,41812,Laboratory,AB2,11:00AM - 12:50PM,TR,"Shenouda, C",207,Psychology Building
PSYC 363,Developmental Child Psych Lab,41810,Lecture,AL1,09:30AM - 10:50AM,TR,"Shenouda, C",32,Psychology Building
PSYC 403,Memory and Amnesia,44051,Lecture,GR,03:00PM - 05:20PM,W,"Cohen, N",101,Armory
PSYC 403,Memory and Amnesia,43369,Lecture,UG,03:00PM - 05:20PM,W,"Cohen, N",101,Armory
PSYC 416,African American Psychology,69263,Lecture-Discussion,G,09:30AM - 10:50AM,TR,"Neville, H",166,Bevier Hall
PSYC 416,African American Psychology,60135,Lecture-Discussion,HN,09:30AM - 10:50AM,TR,"Neville, H",166,Bevier Hall
PSYC 417,Neuroscience of Eating & Drinking,65350,Lecture,GR,12:00PM - 01:20PM,MW,"Liang, N",333,Armory
PSYC 417,Neuroscience of Eating & Drinking,65349,Lecture,UG,12:00PM - 01:20PM,MW,"Liang, N",333,Armory
PSYC 420,Theories of Psychotherapy,34005,Lecture-Discussion,A,09:00AM - 11:50AM,T,"Kinderman, L",101,Armory
PSYC 421,Principles of Psychophysiology,49204,Lecture,G4,12:30PM - 01:50PM,TR,"Dolcos, F",165,Noyes Laboratory
PSYC 421,Principles of Psychophysiology,49205,Lecture,UG3,12:30PM - 01:50PM,TR,"Dolcos, F",165,Noyes Laboratory
PSYC 423,Language Acquisition,53268,Lecture,AG4,03:30PM - 04:50PM,TR,"Fisher, C",29,Psychology Building
PSYC 423,Language Acquisition,53266,Lecture,AU3,03:30PM - 04:50PM,TR,"Fisher, C",29,Psychology Building
PSYC 425,Psych of Language,44039,Lecture,G4,11:00AM - 12:20PM,TR,"Montag, J",166,Bevier Hall
PSYC 425,Psych of Language,30698,Lecture,UG3,11:00AM - 12:20PM,TR,"Montag, J",166,Bevier Hall
PSYC 433,Evolutionary Neuroscience,51753,Lecture,GR,09:30AM - 10:50AM,TR,"Rhodes, J",120,Architecture Building
PSYC 433,Evolutionary Neuroscience,51752,Lecture,UG,09:30AM - 10:50AM,TR,"Rhodes, J",120,Architecture Building
PSYC 453,Cog Neuroscience of Vision,53261,Lecture,GR,12:00PM - 01:20PM,F,"Beck, D",11,Psychology Building
PSYC 453,Cog Neuroscience of Vision,53262,Lecture,UG,12:00PM - 01:20PM,F,"Beck, D",11,Psychology Building
PSYC 456,Human Performance and Cognition in Context,43012,Lecture,AG4,03:30PM - 04:50PM,TR,"Cromley, J",37,Education Building
PSYC 456,Human Performance and Cognition in Context,43011,Lecture,AU3,03:30PM - 04:50PM,TR,"Cromley, J",37,Education Building
PSYC 465,Personality and Soc Dev,41266,Lecture,GR,03:00PM - 05:20PM,W,"Ratner, K",23,Psychology Building
PSYC 465,Personality and Soc Dev,37976,Lecture,UG,03:00PM - 05:20PM,W,"Ratner, K",23,Psychology Building
PSYC 468,Psych and Law,67278,Lecture,UG,12:30PM - 01:50PM,TR,"Glass, S",213,Gregory Hall
PSYC 472,Environmental Psychology,34573,Lecture-DiscussionOnline,E1 E1,01:30PM - 03:20PM0000ARRANGED,T      n.a.,"Van Riper, CVan Riper, C",223,Turner Halln.a.
PSYC 475,Personnel Psych,43337,Lecture,GR,11:00AM - 12:20PM,TR,"Zhang, B",1306,Everitt Laboratory
PSYC 475,Personnel Psych,43332,Lecture,UG,11:00AM - 12:20PM,TR,"Zhang, B",1306,Everitt Laboratory
PSYC 477,Philosophy of Psychology,52101,Lecture-Discussion,G1,11:00AM - 11:50AM,MWF,"Livengood, J",137,Armory
PSYC 477,Philosophy of Psychology,52100,Lecture-Discussion,U1,11:00AM - 11:50AM,MWF,"Livengood, J",137,Armory
PSYC 492,Capstone Undergrad Research,55708,Lecture-Discussion,A,03:00PM - 04:50PM,W,"Lyubansky, M",819,Psychology Building
PSYC 496,Adv Current Topics in Psych,48376,Lecture-Discussion,ADG,02:00PM - 03:20PM,TR,"Adhimoolam, B",11,Psychology Building
PSYC 496,Adv Current Topics in Psych,46959,Lecture-Discussion,ADH,02:00PM - 03:20PM,TR,"Adhimoolam, B",11,Psychology Building
PSYC 496,Adv Current Topics in Psych,37966,Lecture-Discussion,ID3,02:00PM - 04:50PM,M,"Landrum-Brown, J",29,Psychology Building
PSYC 496,Adv Current Topics in Psych,37967,Lecture-Discussion,ML,11:00AM - 12:20PM,TR,"Lyubansky, M",11,Psychology Building
PSYC 498,Senior Honors Seminar,30691,Lecture,A,03:00PM - 04:50PM,M,"Liang, N",815,Psychology Building
