Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
AAS 100,Intro Asian American Studies,41758,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,32,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,47100,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,,32,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,47102,Discussion/ Recitation,AD3,10:00AM - 10:50AM,F,,6,Engineering Hall
AAS 100,Intro Asian American Studies,51248,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,,6,Engineering Hall
AAS 100,Intro Asian American Studies,51249,Discussion/ Recitation,AD5,11:00AM - 11:50AM,F,,36,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,51932,Discussion/ Recitation,AD6,12:00PM - 12:50PM,F,,24,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59818,Discussion/ Recitation,AD7,01:00PM - 01:50PM,F,,1136,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59819,Discussion/ Recitation,AD8,02:00PM - 02:50PM,F,,1038,"Literatures, Cultures, & Ling"
AAS 100,Intro Asian American Studies,59820,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,,37,Education Building
AAS 100,Intro Asian American Studies,59821,Discussion/ Recitation,ADA,02:00PM - 02:50PM,F,,37,Education Building
AAS 100,Intro Asian American Studies,29646,Lecture,AL1,01:00PM - 01:50PM,MW,,141,Wohlers Hall
AAS 200,U.S. Race and Empire,67473,Lecture-Discussion,C,11:00AM - 12:20PM,TR,,209,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62301,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,222,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62302,Discussion/ Recitation,AD2,10:00AM - 10:50AM,F,,111,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62303,Discussion/ Recitation,AD3,02:00PM - 02:50PM,F,,212,David Kinley Hall
AAS 201,US Racial & Ethnic Politics,62300,Lecture,AL1,10:00AM - 10:50AM,MW,"Wong, C",1090,Lincoln Hall
AAS 281,Constructing Race in America,71409,Discussion/ Recitation,AD1,09:00AM - 09:50AM,F,,325,David Kinley Hall
AAS 281,Constructing Race in America,71413,Discussion/ Recitation,AD2,01:00PM - 01:50PM,F,,18,"Literatures, Cultures, & Ling"
AAS 281,Constructing Race in America,71417,Discussion/ Recitation,AD3,11:00AM - 11:50AM,F,,1064,Lincoln Hall
AAS 281,Constructing Race in America,75269,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,,134,Armory
AAS 281,Constructing Race in America,75272,Discussion/ Recitation,AD5,01:00PM - 01:50PM,W,,219,David Kinley Hall
AAS 281,Constructing Race in America,75275,Discussion/ Recitation,AD6,02:00PM - 02:50PM,W,,325,David Kinley Hall
AAS 281,Constructing Race in America,70106,Lecture-Discussion,AL1,11:00AM - 11:50AM,MW,"Ramirez, Y",134,Temple Hoyne Buell Hall
AAS 286,Asian American Literature,41932,Lecture-Discussion,F,02:00PM - 02:50PM,MWF,,137,Henry Administration Bldg
AAS 297,Asian Families in America,64421,Lecture-Discussion,A,09:30AM - 10:45AM,TR,"Chih, D",302,Architecture Building
AAS 297,Asian Families in America,77102,Lecture-Discussion,B,05:00PM - 06:15PM,MW,"Balgopal, A",242,Bevier Hall
AAS 300,"Theories of Race, Gender, and Sexuality",66652,Lecture-Discussion,A,01:00PM - 02:20PM,TR,,1020,Lincoln Hall
AAS 310,Race and Cultural Diversity,65000,Discussion/ Recitation,D1,02:00PM - 03:50PM,R,"Moton, T",389,Education Building
AAS 310,Race and Cultural Diversity,33764,Discussion/ Recitation,D2,02:00PM - 03:50PM,R,"Moton, T",385,Education Building
AAS 310,Race and Cultural Diversity,77817,Discussion/ Recitation,D3,02:00PM - 03:50PM,R,"Moton, T",376,Education Building
AAS 310,Race and Cultural Diversity,79695,Discussion/ Recitation,D4,02:00PM - 03:50PM,R,"Moton, T",320,Mumford Hall
AAS 310,Race and Cultural Diversity,79699,Discussion/ Recitation,D5,02:00PM - 03:50PM,R,"Moton, T",137,Armory
AAS 310,Race and Cultural Diversity,33770,Lecture,L,02:00PM - 03:50PM,T,"Moton, T",2,Education Building
AAS 355,Race and Mixed Race,61320,Lecture-Discussion,A,12:30PM - 01:50PM,TR,"Lule, L",219,David Kinley Hall
AAS 390,Intermed Topics Asian Am St,67213,Lecture-Discussion,D,10:30AM - 11:50AM,MW,"Bui, K",115,Turner Hall
AAS 465,"Race, Sex, and Deviance",54040,Lecture-Discussion,G,03:00PM - 05:20PM,M,"Flores, N",103,1207 W Oregon
AAS 465,"Race, Sex, and Deviance",54039,Lecture-Discussion,U,03:00PM - 05:20PM,M,"Flores, N",103,1207 W Oregon
AAS 479,"Race, Medicine, and Society",55874,Lecture-Discussion,G,12:30PM - 02:50PM,W,"Lira, N",103,1207 W Oregon
AAS 479,"Race, Medicine, and Society",55873,Lecture-Discussion,U,12:30PM - 02:50PM,W,"Lira, N",103,1207 W Oregon
ABE 127,Introduction to Agricultural & Biological Engineering,78644,Laboratory-DiscussionLecture,RBHRBH,01:00PM - 02:50PM140002:00PM - 02:50PM,R      T,"Bhattarai, RBhattarai, R",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 199,Undergraduate Open Seminar,70613,Lecture-Discussion,AB,01:00PM - 01:50PM,W,"Boone, A",217,Agricultural Engr Sciences Bld
ABE 227,Computer-Aided Problem-Solving for ABE I,79304,LaboratoryLecture,LB1LB1,08:00AM - 09:50AM090009:00AM - 09:50AM,R      MW,"Grift, TGrift, T",242,Agricultural Engr Sciences Bld272 Agricultural Engr Sciences Bld
ABE 227,Computer-Aided Problem-Solving for ABE I,79305,LaboratoryLecture,LB2LB2,10:00AM - 11:50AM090009:00AM - 09:50AM,R      MW,"Grift, TGrift, T",242,Agricultural Engr Sciences Bld272 Agricultural Engr Sciences Bld
ABE 232,Context in International Interventions,75460,Lecture-Discussion,APW,12:30PM - 01:50PM,TR,"Witmer, A",218,Ceramics Building
ABE 340,Thermodynamics for Agricultural and Biological Engineering,77441,Lecture,MK,02:00PM - 03:20PM,TR,"Kamruzzaman, M",242,Agricultural Engr Sciences Bld
ABE 436,Renewable Energy Systems,68450,LaboratoryLecture,XW1XW1,01:00PM - 02:50PM130001:00PM - 01:50PM,M      WF,"Malvandi, AMalvandi, A",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 436,Renewable Energy Systems,68451,LaboratoryLecture,XW2XW2,01:00PM - 02:50PM130001:00PM - 01:50PM,M      WF,"Malvandi, AMalvandi, A",208,Agricultural Engr Sciences Bld208 Agricultural Engr Sciences Bld
ABE 452,Engineering for Disaster Resilience,75570,Lecture-DiscussionOnline Discussion,LFRLFR,11:00AM - 11:50AM0000ARRANGED,MW     n.a.,"Rodriguez, LRodriguez, L",3038,Campus Instructional Facilityn.a.
ABE 452,Engineering for Disaster Resilience,76687,Lecture-DiscussionLecture-Discussion,LR1LR1,11:00AM - 11:50AM120012:00PM - 12:50PM,MW     W,"Rodriguez, LRodriguez, L",3038,Campus Instructional Facility2018 Campus Instructional Facility
ABE 456,Land & Water Resources Engrg,79781,LaboratoryLecture,LAOLAO,01:00PM - 02:50PM130001:00PM - 02:50PM,W      M,"Alves de Oliveira, LAlves de Oliveira, L",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 456,Land & Water Resources Engrg,79782,LaboratoryLecture,LO LO,01:00PM - 02:50PM130001:00PM - 02:50PM,W      M,"Alves de Oliveira, LAlves de Oliveira, L",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 459,Drainage and Water Management,29655,LaboratoryLecture,A3 A3,03:00PM - 05:50PM100010:00AM - 10:50AM,W      MW,"Cooke, RCooke, R",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 459,Drainage and Water Management,39805,LaboratoryLecture,A4 A4,03:00PM - 05:50PM100010:00AM - 10:50AM,W      MW,"Cooke, RCooke, R",242,Agricultural Engr Sciences Bld242 Agricultural Engr Sciences Bld
ABE 466,Engineering Off-Road Vehicles,31277,Laboratory,AB2,02:00PM - 04:50PM,R,"Allen, C",137,Agricultural Engr Sciences Bld
ABE 488,Bioprocessing Biomass for Fuel,57478,Lecture,VS,12:30PM - 01:50PM,TR,"Banerjee, SMaitra, SSingh, V",272,Agricultural Engr Sciences Bld
ABE 498,Special Topics,77384,Lecture,AB,12:30PM - 01:50PM,TR,"Tessum, M",242,Agricultural Engr Sciences Bld
ABE 498,Special Topics,10840,LaboratoryLecture,RBHRBH,10:00AM - 11:50AM140002:00PM - 02:50PM,R      MW,"Shajahan, SShajahan, S",,
ABE 532,Advanced Contextual Design,75474,Discussion/ RecitationLecture-Discussion,APWAPW,02:00PM - 02:50PM123012:30PM - 01:50PM,R      TR,"Witmer, AWitmer, A",3025,Campus Instructional Facility218 Ceramics Building
ACCY 201,Accounting and Accountancy I,36480,Discussion/ Recitation,AD2,08:00AM - 08:50AM,F,,3007,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36484,Discussion/ Recitation,AD4,09:00AM - 09:50AM,F,,3007,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36486,Discussion/ Recitation,AD6,10:00AM - 10:50AM,F,,130,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36487,Discussion/ Recitation,AD7,10:00AM - 10:50AM,F,,166,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36494,Discussion/ Recitation,ADA,11:00AM - 11:50AM,F,,130,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36496,Discussion/ Recitation,ADB,11:00AM - 11:50AM,F,,166,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36502,Discussion/ Recitation,ADD,01:00PM - 01:50PM,F,,2057,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36506,Discussion/ Recitation,ADE,12:00PM - 12:50PM,F,,130,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36509,Discussion/ Recitation,ADF,12:00PM - 12:50PM,F,,166,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36513,Discussion/ Recitation,ADG,02:00PM - 02:50PM,F,,2001,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36522,Discussion/ Recitation,ADI,01:00PM - 01:50PM,F,,130,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36526,Discussion/ Recitation,ADJ,01:00PM - 01:50PM,F,,166,Wohlers Hall
ACCY 201,Accounting and Accountancy I,36530,Discussion/ Recitation,ADK,01:00PM - 01:50PM,F,,2001,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36543,Discussion/ Recitation,ADN,02:00PM - 02:50PM,F,,2057,Business Instructional Fac
ACCY 201,Accounting and Accountancy I,36474,Lecture,AL1,11:00AM - 12:20PM,TR,,114,David Kinley Hall
ACCY 201,Accounting and Accountancy I,36477,Lecture,AL2,12:30PM - 01:50PM,TR,,114,David Kinley Hall
ACCY 201,Accounting and Accountancy I,71428,Lecture,AL3,09:30AM - 10:50AM,TR,,108,David Kinley Hall
ACCY 202,Accounting and Accountancy II,36565,Discussion/ Recitation,AD4,11:00AM - 11:50AM,F,,3063,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,36568,Discussion/ Recitation,AD5,12:00PM - 12:50PM,F,,3063,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,71329,Discussion/ Recitation,AD7,09:00AM - 09:50AM,F,,2007,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,71330,Discussion/ Recitation,AD8,08:00AM - 08:50AM,F,,2007,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,71331,Discussion/ Recitation,AD9,01:00PM - 01:50PM,F,,1025,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,71332,Discussion/ Recitation,ADA,02:00PM - 02:50PM,F,,1025,Business Instructional Fac
ACCY 202,Accounting and Accountancy II,36549,Lecture,AL1,02:00PM - 03:20PM,TR,,141,Wohlers Hall
ACCY 202,Accounting and Accountancy II,71328,Lecture,AL2,03:30PM - 04:50PM,TR,,3001,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36577,Lecture-Discussion,AE1,08:00AM - 09:20AM,MW,,2001,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36581,Lecture-Discussion,AE2,09:30AM - 10:50AM,MW,,2001,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36584,Lecture-Discussion,AE3,11:00AM - 12:20PM,MW,,1049,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36587,Lecture-Discussion,AE4,03:30PM - 04:50PM,MW,,2005,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36592,Lecture-Discussion,AE6,12:30PM - 01:50PM,MW,,1049,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,36598,Lecture-Discussion,AE8,09:30AM - 10:50AM,MW,,1049,Business Instructional Fac
ACCY 301,Atg Measurement & Disclosure,49255,Lecture-Discussion,AEB,02:00PM - 03:20PM,MW,,2005,Business Instructional Fac
ACCY 302,Decision Making for Atg,36614,Lecture-Discussion,AE2,09:30AM - 10:50AM,TR,,2001,Business Instructional Fac
ACCY 302,Decision Making for Atg,36618,Lecture-Discussion,AE3,03:30PM - 04:50PM,TR,,3003,Business Instructional Fac
ACCY 302,Decision Making for Atg,36677,Lecture-Discussion,AE4,11:00AM - 12:20PM,TR,,2005,Business Instructional Fac
ACCY 302,Decision Making for Atg,36680,Lecture-Discussion,AE5,09:30AM - 10:50AM,TR,,2005,Business Instructional Fac
ACCY 302,Decision Making for Atg,36688,Lecture-Discussion,AE8,08:00AM - 09:20AM,TR,,2005,Business Instructional Fac
ACCY 302,Decision Making for Atg,49258,Lecture-Discussion,AEA,02:00PM - 03:20PM,TR,,3003,Business Instructional Fac
ACCY 302,Decision Making for Atg,36690,Lecture,AY1,05:00PM - 05:50PM,M,,1001,Business Instructional Fac
ACCY 303,Accounting Institutions and Regulation,36700,Lecture-Discussion,AE2,09:30AM - 10:50AM,MW,,166,Wohlers Hall
ACCY 303,Accounting Institutions and Regulation,36701,Lecture-Discussion,AE3,11:00AM - 12:20PM,MW,,166,Wohlers Hall
ACCY 303,Accounting Institutions and Regulation,36713,Lecture-Discussion,AE4,12:30PM - 01:50PM,MW,,166,Wohlers Hall
ACCY 303,Accounting Institutions and Regulation,49259,Lecture-Discussion,AE5,02:00PM - 03:20PM,MW,,166,Wohlers Hall
ACCY 303,Accounting Institutions and Regulation,36703,Lecture-Discussion,AE6,03:30PM - 04:50PM,MW,,166,Wohlers Hall
ACCY 303,Accounting Institutions and Regulation,67818,Lecture-Discussion,AE7,11:00AM - 12:20PM,MW,,130,Wohlers Hall
ACCY 304,Accounting Control Systems,31317,Lecture-Discussion,AE1,08:00AM - 09:20AM,TR,,1049,Business Instructional Fac
ACCY 304,Accounting Control Systems,31318,Lecture-Discussion,AE2,09:30AM - 10:50AM,TR,,1049,Business Instructional Fac
ACCY 304,Accounting Control Systems,31319,Lecture-Discussion,AE3,12:30PM - 01:50PM,TR,,2001,Business Instructional Fac
ACCY 304,Accounting Control Systems,31320,Lecture-Discussion,AE4,11:00AM - 12:20PM,TR,,2001,Business Instructional Fac
ACCY 304,Accounting Control Systems,49280,Lecture-Discussion,AE5,02:00PM - 03:20PM,TR,,2001,Business Instructional Fac
ACCY 312,Principles of Taxation,31321,Lecture-Discussion,A,12:30PM - 01:50PM,MW,,3001,Business Instructional Fac
ACCY 312,Principles of Taxation,31330,Lecture-Discussion,C,02:00PM - 03:20PM,MW,,3001,Business Instructional Fac
ACCY 312,Principles of Taxation,31332,Lecture-Discussion,D,03:30PM - 04:50PM,MW,,3001,Business Instructional Fac
ACCY 312,Principles of Taxation,31333,Lecture-Discussion,E,09:30AM - 10:50AM,MW,,3003,Business Instructional Fac
ACCY 312,Principles of Taxation,45719,Lecture-Discussion,F,08:00AM - 09:20AM,MW,,3003,Business Instructional Fac
ACCY 312,Principles of Taxation,45934,Lecture-Discussion,G,11:00AM - 12:20PM,MW,,3003,Business Instructional Fac
ACCY 321,Principles of Public Policy,60065,Lecture-Discussion,WA,05:30PM - 07:30PM,W,"Howell, C",,
ACCY 375,Career Pathways in Accountancy,79407,Lecture-Discussion,CPA,05:00PM - 05:50PM,T,,3009,Business Instructional Fac
ACCY 405,Assurance and Attestation,36754,Lecture-Discussion,AE1,09:30AM - 10:50AM,MW,,2005,Business Instructional Fac
ACCY 405,Assurance and Attestation,36758,Lecture-Discussion,AE2,11:00AM - 12:20PM,MW,,3001,Business Instructional Fac
ACCY 405,Assurance and Attestation,36764,Lecture-Discussion,AE3,11:00AM - 12:20PM,MW,,2005,Business Instructional Fac
ACCY 405,Assurance and Attestation,36768,Lecture-Discussion,AE4,02:00PM - 03:20PM,MW,,2001,Business Instructional Fac
ACCY 405,Assurance and Attestation,36771,Lecture-Discussion,AE5,03:30PM - 04:50PM,MW,,2001,Business Instructional Fac
ACCY 405,Assurance and Attestation,36775,Lecture-Discussion,AE6,08:00AM - 09:20AM,MW,,2005,Business Instructional Fac
ACCY 405,Assurance and Attestation,36779,Lecture,AY1,04:00PM - 05:20PM,R,,1001,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,29671,Lecture-Discussion,A3,08:00AM - 09:20AM,MW,,2043,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,64651,Lecture-Discussion,A4,08:00AM - 09:20AM,MW,,2043,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,61231,Lecture-Discussion,B3,09:30AM - 10:50AM,TR,,3003,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,64652,Lecture-Discussion,B4,09:30AM - 10:50AM,TR,,3003,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,62729,Lecture-Discussion,C3,11:00AM - 12:20PM,TR,,3063,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,64654,Lecture-Discussion,C4,11:00AM - 12:20PM,TR,,3063,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,62730,Lecture-Discussion,D3,11:00AM - 12:20PM,MW,,2011,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,64656,Lecture-Discussion,D4,11:00AM - 12:20PM,MW,,2011,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,62731,Lecture-Discussion,E3,03:30PM - 04:50PM,MW,,1025,Business Instructional Fac
ACCY 410,Advanced Financial Reporting,64657,Lecture-Discussion,E4,03:30PM - 04:50PM,MW,,1025,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,49130,Lecture-Discussion,A3,11:00AM - 12:20PM,TR,,1049,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,63159,Lecture-Discussion,A4,11:00AM - 12:20PM,TR,,1049,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,54569,Lecture-Discussion,B3,03:30PM - 04:50PM,TR,,2001,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,63160,Lecture-Discussion,B4,03:30PM - 04:50PM,TR,,2001,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,62733,Lecture-Discussion,C3,02:00PM - 03:20PM,TR,,2063,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,63161,Lecture-Discussion,C4,02:00PM - 03:20PM,TR,,2063,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,63119,Lecture-Discussion,D3,08:00AM - 09:20AM,TR,,2057,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,63163,Lecture-Discussion,D4,08:00AM - 09:20AM,TR,,2057,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,70659,Lecture-Discussion,E3,12:30PM - 01:50PM,TR,,3009,Business Instructional Fac
ACCY 451,Advanced Income Tax Problems,70660,Lecture-Discussion,E4,12:30PM - 01:50PM,TR,,3009,Business Instructional Fac
ACCY 500,"Accounting Measurement, Reporting, and Control",62025,Lecture-Discussion,C2,12:30PM - 01:50PM,TR,,3041,Business Instructional Fac
ACCY 500,"Accounting Measurement, Reporting, and Control",56063,Lecture-Discussion,P2,11:00AM - 12:20PM,TR,,1025,Business Instructional Fac
ACCY 501,Accounting Analysis I,70308,Lecture-Discussion,MSF,03:30PM - 04:50PM,TR,,3063,Business Instructional Fac
ACCY 502,Accounting Analysis II,29680,Lecture-Discussion,A4,09:30AM - 10:50AM,MW,,3057,Business Instructional Fac
ACCY 502,Accounting Analysis II,31334,Lecture-Discussion,B4,12:30PM - 01:50PM,MW,,3063,Business Instructional Fac
ACCY 502,Accounting Analysis II,76239,Lecture-Discussion,E4,08:00AM - 09:20AM,MW,,3057,Business Instructional Fac
ACCY 503,Managerial Accounting,31335,Lecture-Discussion,A2,12:30PM - 01:50PM,TR,,2005,Business Instructional Fac
ACCY 503,Managerial Accounting,77353,Lecture-Discussion,C2,08:00AM - 09:20AM,TR,,3041,Business Instructional Fac
ACCY 504,Auditing,59162,Lecture-Discussion,B4,09:30AM - 10:50AM,TR,,1025,Business Instructional Fac
ACCY 504,Auditing,64875,Lecture-Discussion,C4,11:00AM - 12:20PM,TR,,3003,Business Instructional Fac
ACCY 504,Auditing,76238,Lecture-Discussion,E4,08:00AM - 09:20AM,TR,,1025,Business Instructional Fac
ACCY 505,Federal Taxation,31339,Lecture-Discussion,A4,12:30PM - 01:50PM,TR,,3063,Business Instructional Fac
ACCY 505,Federal Taxation,31341,Lecture-Discussion,B4,02:00PM - 03:20PM,TR,,3063,Business Instructional Fac
ACCY 505,Federal Taxation,54993,Lecture-Discussion,C4,03:30PM - 04:50PM,TR,,2005,Business Instructional Fac
ACCY 505,Federal Taxation,57605,Lecture-Discussion,D4,02:00PM - 03:20PM,TR,,2005,Business Instructional Fac
ACCY 505,Federal Taxation,70661,Lecture-Discussion,E4,09:30AM - 10:50AM,TR,,3001,Business Instructional Fac
ACCY 510,Financial Reporting Standards,49275,Lecture-Discussion,D,02:00PM - 03:20PM,TR,,2057,Business Instructional Fac
ACCY 510,Financial Reporting Standards,61974,Lecture-Discussion,E,12:30PM - 01:50PM,TR,,2011,Business Instructional Fac
ACCY 510,Financial Reporting Standards,62037,Lecture-Discussion,F,11:00AM - 12:20PM,TR,,2011,Business Instructional Fac
ACCY 512,Data Analytics for Management Accounting,51813,Lecture-Discussion,A,08:00AM - 09:20AM,MW,,1025,Business Instructional Fac
ACCY 512,Data Analytics for Management Accounting,51814,Lecture-Discussion,B,09:30AM - 10:50AM,MW,,1025,Business Instructional Fac
ACCY 512,Data Analytics for Management Accounting,51816,Lecture-Discussion,D,11:00AM - 12:20PM,MW,,1025,Business Instructional Fac
ACCY 515,Auditing & Assurance Standards,46977,Lecture-Discussion,A,02:00PM - 03:20PM,MW,,3041,Business Instructional Fac
ACCY 515,Auditing & Assurance Standards,46978,Lecture-Discussion,B,09:30AM - 10:50AM,MW,,2011,Business Instructional Fac
ACCY 515,Auditing & Assurance Standards,54477,Lecture-Discussion,C,03:30PM - 04:50PM,MW,,3041,Business Instructional Fac
ACCY 517,Financial Statement Analysis and Valuation,31373,Lecture-Discussion,A4,12:30PM - 01:50PM,MW,,3057,Business Instructional Fac
ACCY 517,Financial Statement Analysis and Valuation,31377,Lecture-Discussion,B4,03:30PM - 04:50PM,MW,,3003,Business Instructional Fac
ACCY 517,Financial Statement Analysis and Valuation,39543,Lecture-Discussion,C4,02:00PM - 03:20PM,TR,,3009,Business Instructional Fac
ACCY 517,Financial Statement Analysis and Valuation,31379,Lecture-Discussion,D4,11:00AM - 12:20PM,MW,,3057,Business Instructional Fac
ACCY 518,Financial Statement Fraud,66681,Lecture-Discussion,A,08:00AM - 09:20AM,TR,,3063,Business Instructional Fac
ACCY 518,Financial Statement Fraud,66682,Lecture-Discussion,B,09:30AM - 10:50AM,TR,,3063,Business Instructional Fac
ACCY 518,Financial Statement Fraud,66683,Lecture-Discussion,C,02:00PM - 03:20PM,TR,,1025,Business Instructional Fac
ACCY 518,Financial Statement Fraud,70667,Lecture-Discussion,D,12:30PM - 01:50PM,TR,,1025,Business Instructional Fac
ACCY 551,Corporate Income Taxation,31382,Lecture-Discussion,B,09:30AM - 10:50AM,TR,,3009,Business Instructional Fac
ACCY 552,Partnership Income Taxation,74619,Lecture-Discussion,A,02:00PM - 03:20PM,TR,,3001,Business Instructional Fac
ACCY 556,Tax Research,54570,Lecture-Discussion,A,03:30PM - 04:50PM,MW,,3039,Business Instructional Fac
ACCY 556,Tax Research,31384,Lecture-Discussion,B,02:00PM - 03:20PM,MW,,3063,Business Instructional Fac
ACCY 570,Data Analytics Foundations for Accountancy,68784,Lecture-DiscussionOnline,AD1AD1,09:30AM - 10:50AM200008:00PM - 08:50PM,TR     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,68785,Lecture-DiscussionOnline,AD2AD2,11:00AM - 12:20PM200008:00PM - 08:50PM,TR     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,68786,Lecture-DiscussionOnline,AD3AD3,12:30PM - 01:50PM200008:00PM - 08:50PM,MW     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,68787,Lecture-DiscussionOnline,AD4AD4,02:00PM - 03:20PM200008:00PM - 08:50PM,MW     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,70665,Lecture-DiscussionOnline,AD5AD5,03:30PM - 04:50PM200008:00PM - 08:50PM,MW     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,76784,Lecture-DiscussionOnline,AD6AD6,09:30AM - 10:50AM200008:00PM - 08:50PM,TR     R,,2057,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,71909,Lecture-DiscussionOnline,AD7AD7,12:30PM - 01:50PM200008:00PM - 08:50PM,TR     R,,2063,Business Instructional Facn.a.
ACCY 570,Data Analytics Foundations for Accountancy,66737,OnlineLecture-Discussion,AD8AD8,08:00PM - 08:50PM080008:00AM - 09:20AM,R      TR,,2041,Business Instructional Fac
ACCY 574,Risk Management and Innovation,78085,Lecture-Discussion,A4,03:30PM - 04:50PM,MW,,1049,Business Instructional Fac
ACCY 575,Data Analytics Applications in Accountancy,74620,Lecture-Discussion,A,12:30PM - 01:50PM,TR,,3001,Business Instructional Fac
ACCY 575,Data Analytics Applications in Accountancy,79414,Lecture-Discussion,I,11:00AM - 12:20PM,TR,,3001,Business Instructional Fac
ACCY 592,Introduction to Accounting Research,29682,Lecture-Discussion,A,01:00PM - 04:50PM,F,,,
ACCY 599,Thesis Research,29686,Lecture-Discussion,1,08:00AM - 12:50PM,F,,3009,Business Instructional Fac
ACCY 599,Thesis Research,72693,Lecture-Discussion,2,01:00PM - 04:50PM,F,,3009,Business Instructional Fac
ACE 100,Introduction to Applied Microeconomics,36724,Discussion/ Recitation,AD1,01:00PM - 01:50PM,R,"Gundersen, L",393,Bevier Hall
ACE 100,Introduction to Applied Microeconomics,36726,Discussion/ Recitation,AD2,02:00PM - 02:50PM,R,"Gundersen, L",393,Bevier Hall
ACE 100,Introduction to Applied Microeconomics,36732,Discussion/ Recitation,AD5,09:00AM - 09:50AM,F,"Gundersen, L",206,David Kinley Hall
ACE 100,Introduction to Applied Microeconomics,36734,Discussion/ Recitation,AD6,10:00AM - 10:50AM,F,"Gundersen, L",206,David Kinley Hall
ACE 100,Introduction to Applied Microeconomics,36735,Discussion/ Recitation,AD7,11:00AM - 11:50AM,F,"Gundersen, L",206,David Kinley Hall
ACE 100,Introduction to Applied Microeconomics,56843,Discussion/ Recitation,AD8,01:00PM - 01:50PM,F,"Gundersen, L",322,David Kinley Hall
