Subject,Course Id,Name,Section Code,Start Date,End Date,Type,Start,End,Days,Room Number,Building,Instructors
AAS,355,Race and Mixed Race,A,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,219,David Kinley Hall,"['Lule, L']"
AAS,390,Intermed Topics Asian Am St,D,2024-08-26Z,2024-12-11Z,Lecture-Discussion,10:30 AM,11:50 AM,MW,W115,Turner Hall,"['Bui, K']"
AAS,465,"Race, Sex, and Deviance",G,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M,103,1207 W Oregon,"['Flores, N']"
AAS,465,"Race, Sex, and Deviance",U,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M,103,1207 W Oregon,"['Flores, N']"
AAS,479,"Race, Medicine, and Society",G,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,02:50 PM,W,103,1207 W Oregon,"['Lira, N']"
AAS,479,"Race, Medicine, and Society",U,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,02:50 PM,W,103,1207 W Oregon,"['Lira, N']"
ABE,127,Introduction to Agricultural & Biological Engineering,RBH,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:00 PM,02:50 PM,R,208,Agricultural Engr Sciences Bld,"['Bhattarai, R']"
ABE,127,Introduction to Agricultural & Biological Engineering,RBH,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,02:50 PM,T,208,Agricultural Engr Sciences Bld,"['Bhattarai, R']"
ABE,199,Undergraduate Open Seminar,AB,2024-08-26Z,2024-12-11Z,Lecture-Discussion,01:00 PM,01:50 PM,W,217,Agricultural Engr Sciences Bld,"['Boone, A']"
ABE,227,Computer-Aided Problem-Solving for ABE I,LB1,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,09:50 AM,R,242,Agricultural Engr Sciences Bld,"['Grift, T']"
ABE,227,Computer-Aided Problem-Solving for ABE I,LB1,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,MW,272,Agricultural Engr Sciences Bld,"['Grift, T']"
ABE,227,Computer-Aided Problem-Solving for ABE I,LB2,2024-08-26Z,2024-12-11Z,Laboratory,10:00 AM,11:50 AM,R,242,Agricultural Engr Sciences Bld,"['Grift, T']"
ABE,227,Computer-Aided Problem-Solving for ABE I,LB2,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,MW,272,Agricultural Engr Sciences Bld,"['Grift, T']"
ABE,232,Context in International Interventions,APW,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,218,Ceramics Building,"['Witmer, A']"
ABE,340,Thermodynamics for Agricultural and Biological Engineering,MK,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:20 PM,TR,242,Agricultural Engr Sciences Bld,"['Kamruzzaman, M']"
ABE,436,Renewable Energy Systems,XW1,2024-08-26Z,2024-12-11Z,Laboratory,01:00 PM,02:50 PM,M,208,Agricultural Engr Sciences Bld,"['Malvandi, A']"
